CPF,NOME,SOBRENOME,IDADE,GENERO,EMAIL,TELEFONE,CIDADE,ESTADO,PAÍS,CARGO,EMPRESA
204.797.412-71,Fernanda,Lima,45,female,FernandaBarbosaLima@einrot.com,(47) 7706-5544,Blumenau,SC,BR,Heavy-duty truck mechanic,Lechmere
815.201.306-43,Daniel,Castro,54,male,DanielFernandesCastro@cuvox.de,(54) 9820-3181,Passo Fundo,RS,BR,Hardware engineer,Avant Garde Appraisal Group
342.494.671-04,André,Araujo,19,male,AndreCastroAraujo@rhyta.com,(82) 6223-6943,Maceió,AL,BR,Taxicab dispatcher,Piccolo Mondo
188.271.953-00,João,Cavalcanti,39,male,JoaoSilvaCavalcanti@einrot.com,(61) 2976-4646,Taguatinga,DF,BR,Enrobing machine operator,Bugle Boy
423.548.502-47,Julieta,Silva,20,female,JulietaRibeiroSilva@jourrapide.com,(11) 6175-5209,Guarulhos,SP,BR,Watch repairer,Monk Home Loans
430.160.638-67,Vitor,Azevedo,23,male,VitorGoncalvesAzevedo@fleckens.hu,(61) 4918-7866,Ceilândia,DF,BR,Plasma cutter,Kessel Food Market
573.811.163-08,Maria,Correia,22,female,MariaGomesCorreia@fleckens.hu,(16) 2275-8362,Ribeirão Preto,SP,BR,Safety engineer,Thalhimers
948.936.583-10,Giovana,Silva,34,female,GiovanaRochaSilva@jourrapide.com,(21) 2001-5189,Rio de Janeiro,RJ,BR,Textile cutting machine operator,Audio Visions
426.139.873-75,Bruna,Rocha,62,female,BrunaSantosRocha@einrot.com,(11) 3341-2178,São Paulo,SP,BR,Vice president,Evans
503.585.139-79,Breno,Cardoso,44,male,BrenoRodriguesCardoso@fleckens.hu,(12) 5476-7557,São José dos Campos,SP,BR,Electrical inspector,Grade A Investment
984.337.384-70,Victor,Ribeiro,65,male,VictorFernandesRibeiro@gustr.com,(21) 8726-3655,Rio de Janeiro,RJ,BR,Cook,Central Hardware
159.012.251-80,Leila,Araujo,49,female,LeilaAzevedoAraujo@rhyta.com,(11) 8697-5999,São Bernardo do Campo,SP,BR,Music conductor,The Wiz
527.613.099-01,Julieta,Barros,57,female,JulietaAlvesBarros@cuvox.de,(11) 9468-9345,São Paulo,SP,BR,Ironworker,Desert Garden Help
333.743.751-62,Alex,Santos,69,male,AlexLimaSantos@cuvox.de,(12) 6490-6872,São José dos Campos,SP,BR,Credit reporter,Destiny Planners
245.803.804-28,Felipe,Rocha,24,male,FelipeOliveiraRocha@armyspy.com,(13) 2182-6106,Guarujá,SP,BR,Two-stroke engine mechanic,Silverwoods
167.114.848-78,Vitoria,Barros,32,female,VitoriaAraujoBarros@teleworm.us,(12) 8853-7868,Guaratinguetá,SP,BR,CART provider,Dynatronics Accessories
123.569.618-95,Davi,Melo,31,male,DaviCorreiaMelo@fleckens.hu,(73) 6969-8453,Jequié,BA,BR,Accounts receivable clerk,Jackpot Consultant
252.200.112-43,Marcos,Ferreira,48,male,MarcosCastroFerreira@cuvox.de,(21) 7545-4977,Rio de Janeiro,RJ,BR,Tester,L.L. Berger
504.200.182-47,Alice,Gomes,63,female,AliceFernandesGomes@rhyta.com,(32) 6793-4576,São João Del Rei,MG,BR,Terrazzo worker,Buehler Foods
585.231.402-12,Gabriela,Silva,65,female,GabrielaFernandesSilva@jourrapide.com,(62) 8016-2897,Aparecida de Goiânia,GO,BR,GED teacher,Pender's Food Stores
